artist_folder,midi_file,tonic,mode
Chesney_Hawkes,The_One_And_Only.mid,E,major
Chesney_Hawkes,Im_a_Man_Not_a_Boy.mid,A,major
Mo-Do,Eins_Zwei_Polizei.mid,E,minor
Mo-Do,Super_Gut.mid,E,minor
Weather_Report,Birdland.mid,G,major
Weather_Report,Palladium.mid,A,minor
Weather_Report,Harlequin.mid,F,minor
Sheb_Wooley,Purple_People_Eater.mid,A-,major
Haggard._Merle,Rudolph_the_Red-Nosed_Reindeer.mid,C,major
U96,Club_Bizarre.mid,E,minor
U96,Night_in_Motion.mid,E,minor
U96,Inside_Your_Dreams.mid,G,minor
U96,Love_Religion.mid,F,minor
U96,Das_Boot.mid,F,major
Air_Supply,Goodbye.mid,D,major
Air_Supply,Come_What_May.mid,A,major
Air_Supply,All_Out_Of_Love.mid,C,major
Air_Supply,Two_Less_Lonely_People_in_the_World.mid,A,major
Air_Supply,She_Never_Heard_Me_Call.mid,E,major
Air_Supply,Making_Love_Out_of_Nothing_at_All.mid,C,major
Air_Supply,Even_the_Nights_Are_Better.mid,C,minor
Battisti_Lucio,La_canzone_del_sole.mid,A,major
Battisti_Lucio,Nessun_dolore.mid,F,major
Battisti_Lucio,"Acqua_azzurra,_acqua_chiara.mid",A,major
Battisti_Lucio,Mi_ritorni_in_mente.mid,G,major
Jones,Big_Dipper.mid,D,minor
Ron,Ferite_e_lacrime_You_.mid,C,major
Ron,Non_abbiam_bisogno_di_parole.mid,D,major
Ron,Joe_temerario.mid,C,major
Ron,Sono_uguale_a_te.mid,B,minor
Ron,Mi_hai_preso_il_cuore.mid,G,major
Ron,Vorrei_incontrarti_fra_centanni_con_la_partecipazione_di_Tosca_.mid,B-,major
Ron,Stella_mia.mid,F,major
Ron,Return_My_Love.mid,F,major
Ron,Una_Citta_Per_Cantare.mid,G,major
Ron,Piazza_Grande.mid,A,major
Ron,Il_sole_e_la_luna.mid,G,major
Ron,Tutti_quanti_abbiamo_un_angelo.mid,C,major
Ron,Un_porto_nel_vento.mid,F,major
Don_Henley,Boys_of_Summer.mid,F#,major
Don_Henley,Dirty_Laundry.mid,B-,major
Don_Henley,New_York_Minute.mid,C,minor
Don_Henley,End_of_Innocence.mid,G,major
Don_Henley,The_End_of_the_Innocence.mid,G,major
The_Verve_Pipe,The_Freshman.mid,A,major
Blackstreet,"Take_Me_There_feat._Mya,_Ma_e_Blinky_Blink_.mid",A,minor
Blackstreet,No_Diggity.mid,F#,minor
Blackstreet,Dont_Leave_Me.mid,D,minor
Blackstreet,Good_Lovin.mid,E-,major
Westbam,Hard_Times.mid,C#,minor
R._Kelly,Fiesta_Remix.mid,D,major
R._Kelly,Gotham_City.mid,B,minor
R._Kelly,Ignition.mid,A-,major
R._Kelly,You_Remind_Me_Of_Something.mid,G,major
R._Kelly,Half_on_a_Baby.mid,C#,minor
R._Kelly,I_Believe_I_Can_Fly.mid,F,major
Bertie_Higgins,Key_Largo.mid,G,major
Traveling_Wilburys,End_of_the_Line.mid,D,major
Traveling_Wilburys,Handle_With_Care.mid,G,major
Gianni_Bella,Mi_domando.mid,C,minor
Gianni_Bella,Questo_amore_non_si_tocca.mid,C#,minor
Gianni_Bella,Non_si_puo_morire_dentro.mid,C,major
Gianni_Bella,Dolce_uragano.mid,C#,major
Irene_Cara,Fame.mid,E,minor
Irene_Cara,Flashdance.mid,E-,major
Master_P,I_Got_the_Hook_Up.mid,D,minor
Amanda_McBroom,The_Rose.mid,C,major
The_Lemon_Pipers,Green_Tambourine.mid,C,minor
Renato_Teixeira,"Amanheceu,_peguei_a_viola.mid",D,major
Renato_Teixeira,Romaria.mid,D,major
The_Lemonheads,Rest_Assured.mid,F#,minor
The_Lemonheads,Mrs_Robinson.mid,B,minor
Sonny_and_Cher,All_I_Ever_Need_Is_You.mid,G,major
Sonny_and_Cher,I_Got_You_Babe.mid,B-,minor
Sonny_and_Cher,Little_Man.mid,D,minor
Sonny_and_Cher,Bang_Bang.mid,G,minor
Sonny_and_Cher,The_Beat_Goes_On.mid,F,major
Swing_Out_Sister,Am_I_the_Same_Girl.mid,A-,major
The_Soul_Survivors,Expressway_To_Your_Heart_.mid,C,major
Ellington,Moon_Mist.mid,C,minor
Ellington,I_Let_a_Song_Go_Out_of_My_Heart.mid,C#,major
Ellington,Such_Sweet_Thunder.mid,G,major
Ellington,Jeeps_Blues.mid,F,major
Ellington,Things_Aint_What_They_Used_to_Be.mid,F,major
Ellington,Sophisticated_Lady.mid,A-,major
Ellington,Take_the_A_Train.mid,F,major
Ellington,Do_Nothin_Till_You_Hear_From_Me.mid,F,minor
Ellington,Passion_Flower.mid,G,major
Ellington,Perdido.mid,B-,major
Ellington,Dont_Get_Around_Much_Anymore.mid,C,major
Ellington,Im_Beginning_to_See_the_Light.mid,F,major
Ellington,Stormy_Weather.mid,E,major
Ellington,Ellington_Medley.mid,C,major
Ellington,It_Dont_Mean_a_Thing.mid,B-,major
Ellington,Satin_Doll.mid,C,major
Ellington,Cotton_Tail.mid,B-,major
Ellington,Just_Squeeze_Me.mid,F,major
Ellington,In_a_Sentimental_Mood.mid,D,minor
Ellington,Caravan.mid,F,minor
Ellington,Sweet_Georgia_Brown.mid,B-,major
U.S.A._for_Africa,We_Are_the_World.mid,A,minor
Randy_Newman,Introduction_I_Love_to_See_You_Smile.mid,F,major
Randy_Newman,Short_People.mid,D,major
En_Vogue,Free_Your_Mind.mid,G,minor
En_Vogue,Dont_Let_Go_Love_.mid,F,minor
En_Vogue,My_Lovin_Youre_Never_Gonna_Get_It_.mid,B-,minor
Mandy_Moore,I_Wanna_Be_With_You.mid,E-,major
Mandy_Moore,Candy.mid,G,minor
Melina_Mercouri,Ein_Schiff_wird_kommen.mid,E-,major
The_Folk_Implosion,Natural_One.mid,B,major
Dan_Fogelberg,Same_Old_Lang_Syne.mid,C,major
Dan_Fogelberg,Leader_Of_The_Band.mid,C#,major
Dan_Fogelberg,Longer.mid,G,major
Power_Tools,Unchained_Melody.mid,A,minor
Jigsaw,Sky_High.mid,E,minor
DJ_Jazzy_Jeff,Summer_Time.mid,G,minor
k.d._lang,Constant_Craving.mid,A-,major
Scatman,Scatman.mid,A-,major
Iron_Butterfly,In_A_Gadda_Da_Vida.mid,D,minor
DJ_BoBo,Everybody.mid,F#,major
Was_Not_Was_,Walk_the_Dinosaur.mid,A-,major
Blue_Oyster_Cult,Godzilla.mid,C#,minor
Blue_Oyster_Cult,Dont_Fear_The_Reaper.mid,C,major
John_Scofield,High_and_Mighty.mid,D,minor
Hugues_Aufray,Celine.mid,F,minor
Clarence_Frogman_Henry,I_Dont_Know_Why_But_I_Do.mid,F,major
MAMAS_and_Papas,Dream_A_Little_Dream_Of_Me.mid,C,minor
Trovato,Amori_amori.mid,A,minor
Trovato,Insieme_senza_parole.mid,B-,major
Trovato,E_successo_a_noi.mid,A,minor
Peter_Tosh,Johnny_B_Goode.mid,D,major
Gala,Freed_From_Desire.mid,D,minor
Die_Doofen,Prinzessin_De_Bahia_Tropical.mid,C,major
Will_to_Power,Im_Not_in_Love.mid,A-,major
Will_to_Power,Baby_I_Love_Your_Way_Freebird_.mid,G,major
Terry_Jacks,Seasons_in_the_Sun.mid,F,major
Angelo_Branduardi,Domenica_e_lunedi.mid,G,major
Angelo_Branduardi,Alla_fiera_dellest.mid,G,major
Angelo_Branduardi,Si_puo_fare.mid,C,major
Angelo_Branduardi,Vanita_di_vanita.mid,E-,minor
Angelo_Branduardi,La_pulce_dacqua.mid,F,major
Angelo_Branduardi,Il_giocatore_di_biliardo.mid,E,major
Angelo_Branduardi,Cogli_la_prima_mela.mid,E,minor
Joseph_Kosma,Autumn_Leaves.mid,E,minor
Foreigner,Waiting_for_a_Girl_Like_You.mid,E-,minor
Foreigner,"Blue_Morning,_Blue_Day.mid",B,minor
Foreigner,Feels_Like_the_First_Time.mid,G,major
Foreigner,Double_Vision.mid,A,minor
Foreigner,Urgent.mid,A,minor
Foreigner,That_Was_Yesterday.mid,E-,minor
Foreigner,Head_Games.mid,G#,minor
Foreigner,Hot_Blooded.mid,C,major
Foreigner,I_Want_to_Know_What_Love_Is.mid,F#,major
Foreigner,Cold_as_Ice.mid,E-,minor
808_State,Pacific_202.mid,C,major
They_Might_Be_Giants,Hall_of_Heads.mid,E,minor
They_Might_Be_Giants,Shes_an_Angel.mid,E,major
They_Might_Be_Giants,Istanbul_Not_Constantinople_.mid,F,minor
Captain_Hollywood_Project,Find_Another_Way_single_mix_.mid,C,major
Captain_Hollywood_Project,Only_With_You_Faze_2_edit_.mid,G#,minor
Captain_Hollywood_Project,Flying_High_single_mix_.mid,D,minor
Captain_Hollywood_Project,More_and_More.mid,A,minor
Captain_Hollywood_Project,Impossible.mid,D,minor
Bobby_Bare,Me_and_Bobby_McGee.mid,C,major
Bobby_Bare,Green_Green_Grass_of_Home.mid,G,major
Bobby_Bare,Detroit_City.mid,E,major
dc_Talk,Jesus_Freak_Reprais_.mid,F,minor
Mac_Davis,Baby_Dont_Get_Hooked_on_Me.mid,G,major
McFadden_and_Whitehead,Aint_No_Stopping_Us_Now.mid,A,major
TLC,No_Scrubs.mid,G#,minor
TLC,Red_Light_Special.mid,F,major
TLC,Waterfall_single_edit_.mid,A-,major
TLC,Unpretty.mid,F,major
TLC,Creep.mid,E-,major
TLC,Baby-Baby-Baby.mid,A,major
TLC,Waterfalls.mid,A-,major
TLC,Dear_Lie.mid,F,major
Fat_Larry_s_Band,Zoom.mid,G,major
The_Ventures,Calcutta.mid,G,major
The_Ventures,Blue_Star.mid,E,major
The_Ventures,The_Cruel_Sea.mid,A,minor
The_Ventures,Diamond_Head.mid,A,minor
The_Ventures,Instant_Guitar.mid,E,minor
The_Ventures,Bird_Rockers.mid,A,minor
The_Ventures,Penetration.mid,G,minor
The_Ventures,Fugitive.mid,B-,minor
The_Ventures,Apache.mid,A,minor
The_Ventures,Gringo.mid,A,major
The_Ventures,"The_Good,_The_Bad,_and_The_Ugly.mid",E,minor
The_Ventures,Eleventh_Hour.mid,E,minor
The_Ventures,Guitar_Boogie_Shuffle.mid,E,major
The_Ventures,Walk_Dont_Run.mid,A,minor
The_Ventures,Theme_from_Come_September.mid,C,major
The_Ventures,Bluebird.mid,D,major
The_Ventures,Pipeline.mid,E,minor
The_Ventures,I_Feel_Fine.mid,G,major
The_Ventures,Jokers_Wild.mid,A,minor
The_Ventures,Blue_Star_The_Melodic_Theme.mid,E,major
The_Ventures,Honky_Tonk.mid,E,major
The_Ventures,Bulldog.mid,A,minor
The_Ventures,Besame_Mucho.mid,A,minor
The_Ventures,Guitar_Twist.mid,B-,major
The_Ventures,Escape.mid,F,minor
Spirit,I_Got_A_Line_On_You.mid,E,minor
Axelle_Red,Rester_femme.mid,F,minor
Axelle_Red,Parce_Que_CEst_Toi.mid,B,major
Axelle_Red,Le_Monde_Tourne_Mal.mid,C#,minor
Axelle_Red,Ce_Matin.mid,A,minor
Axelle_Red,Je_tattends.mid,A,minor
Axelle_Red,Sensualite.mid,F#,major
Axelle_Red,Amoureuse_Ou_Pas.mid,E,major
Axelle_Red,Rien_Que_Dy_Penser.mid,G,major
Clerc_Julien,Fais_moi_une_place.mid,F#,major
Clerc_Julien,Partir.mid,A,major
Clerc_Julien,Femmes..._je_vous_aime.mid,A-,major
Le_Grand_Orchestre_du_Splendid,La_Salsa_du_Demon.mid,C,minor
Fugees,Fugeela.mid,C,minor
Fugees,"No_Woman,_No_Cry.mid",C,major
Fugees,Fu-Gee-La.mid,C,minor
Fugees,Killing_Me_Softly.mid,A,minor
Fugees,Ready_Or_Not.mid,B-,minor
Boney_James,Aint_No_Sunshine.mid,A,minor
Ricchi_e_Poveri,Come_vorrei.mid,D,minor
Ricchi_e_Poveri,Minnamoro_di_te.mid,A,minor
Gilbert_Becaud,Et_maintenant.mid,F,major
Orgy,Blue_Monday.mid,D,minor
Stiltskin,Inside.mid,A,minor
Tears_n_Joy,I_Will_Always_Love_You.mid,F#,minor
Kevin_Paige,Anything_I_Want.mid,G#,minor
Beloved,Sweet_Harmony.mid,A-,major
Save_Ferris,Come_On_Eileen.mid,C,major
Propaganda,Duel_Eye_to_Eye_.mid,B-,minor
Michael_George,Fastlove.mid,C#,major
Michael_George,Father_Figure.mid,F,minor
Michael_George,Careless_Whisper.mid,D,minor
Michael_George,Outside.mid,G,minor
Michael_George,Faith.mid,B,major
Michael_George,Dont_Let_The_Sun_Go_Down_On_Me.mid,C,major
Michael_George,Fast_Love.mid,B-,minor
Michael_George,Too_Funky.mid,D,minor
Michael_George,Wake_Me_Up_Before_You_Go_Go.mid,C,major
Michael_George,"Fastlove,_Part_1.mid",G,minor
Michael_George,Roxanne.mid,B,minor
Michael_George,Jesus_to_a_Child.mid,D,minor
Michael_George,Freedom_90.mid,F,major
Michael_George,Praying_for_Time.mid,B-,major
Michael_George,One_More_Try.mid,F,major
Diamond_Jim,I_Should_Have_Known_Better.mid,F,major
Taja_Sevelle,Take_Me_for_a_Ride.mid,C#,major
Koos_Alberts,Eenmaal_kom_je_terug.mid,G,minor
The_Go-Go_s,Cool_Jerk.mid,A,major
The_Go-Go_s,Our_Lips_Are_Sealed.mid,C,major
The_Go-Go_s,We_Got_The_Beat.mid,A,minor
The_Go-Go_s,Vacation.mid,F,major
Cilla_Black,Anyone_Who_Had_a_Heart.mid,F,major
Joni_Mitchell,You_Turn_Me_On_Im_a_Radio.mid,G,major
Joni_Mitchell,Marcie.mid,G,major
Joni_Mitchell,Rainy_Night_House.mid,D,minor
Joni_Mitchell,"Both_Sides,_Now.mid",C,major
Joni_Mitchell,Cactus_Tree.mid,G,major
Joni_Mitchell,That_Song_About_the_Midway.mid,E-,major
Joni_Mitchell,Help_Me.mid,A,minor
Joni_Mitchell,Cold_Blue_Steel_and_Sweet_Fire.mid,C,major
Joni_Mitchell,Woodstock.mid,E,minor
Joni_Mitchell,Big_Yellow_Taxi.mid,E,major
Henry_Butler,"Baby,_Let_Me_Hold_Your_Hand.mid",B-,major
Henry_Butler,Basin_Street_Blues.mid,B-,major
Henry_Butler,San_Francisco_Blues.mid,A-,major
Henry_Butler,Dr._Diddley.mid,E-,major
Henry_Butler,Dr._James.mid,A-,major
Henry_Butler,Down_by_the_Riverside.mid,B-,major
Henry_Butler,Butlers_Boogie.mid,E-,major
Henry_Butler,Blues_After_Midnight.mid,C,minor
Henry_Butler,Orleans_Inspiration.mid,E-,major
Neil_Young,Southern_Man.mid,D,minor
Neil_Young,Rockin_in_the_Free_World.mid,C,major
Neil_Young,Ohio.mid,D,minor
Neil_Young,Old_Man.mid,D,minor
Neil_Young,Words_Between_the_Lines_of_Age_.mid,D,minor
Neil_Young,Cinnamon_Girl.mid,G,major
Neil_Young,Down_by_the_River.mid,E,minor
Neil_Young,"My_My,_Hey_Hey_Out_of_the_Blue_.mid",A,minor
Neil_Young,Heart_of_Gold.mid,C,major
Kid_Rock,Cowboy.mid,C#,major
Village_People,Y.M.C.A.mid,F#,major
Village_People,Y.M.C.A..mid,B,major
Village_People,Macho_Man_live_.mid,B-,major
Village_People,Five_Oclock_in_the_Morning.mid,C,major
Village_People,Go_West.mid,C,major
Village_People,In_the_Navy.mid,G,minor
The_Allman_Brothers_Band,Stormy_Monday.mid,C,major
The_Allman_Brothers_Band,Rambin_Man.mid,G,major
The_Allman_Brothers_Band,Melissa.mid,E,major
The_Allman_Brothers_Band,Whipping_Post.mid,A,minor
The_Allman_Brothers_Band,Midnight_Rider.mid,F,major
The_Allman_Brothers_Band,One_Way_Out.mid,D,major
The_Allman_Brothers_Band,Blue_Sky.mid,A,major
The_Allman_Brothers_Band,In_Memory_of_Elizabeth_Reed.mid,E,minor
The_Allman_Brothers_Band,Jessica.mid,A,major
Julie_Andrews,Edelweiss.mid,B-,major
Oasis,Morning_Glory.mid,D,major
Oasis,Whatever.mid,G,major
Oasis,Talk_Tonight.mid,G,major
Oasis,Do_You_Know_What_I_Mean.mid,A,major
Oasis,Roll_With_It.mid,C#,major
Oasis,All_Around_the_World.mid,B,minor
Oasis,Stop_Crying_Your_Heart_Out.mid,G,major
Oasis,Wonderwall.mid,D,major
Oasis,Supersonic.mid,A,major
Oasis,Shes_Electric.mid,A,major
Oasis,Dont_Go_Away.mid,D,minor
Oasis,Go_Let_It_Out.mid,D,major
Oasis,The_Masterplan.mid,A,minor
Oasis,Live_Forever.mid,A,minor
Oasis,Dont_Look_Back_in_Anger.mid,C,major
Oasis,Cum_on_Feel_the_Noise.mid,G,major
Oasis,Cast_No_Shadow.mid,G,major
Oasis,Shakermaker.mid,E,major
Oasis,Stand_by_Me.mid,G,major
Oasis,Champagne_Supernova.mid,A,major
Major_Harris,Sideshow.mid,E-,major
David_Gates,Goodbye_Girl.mid,E-,major
George_Benson,Give_Me_the_Night.mid,A,minor
George_Benson,On_Broadway.mid,C,major
George_Benson,Feel_Like_Making_Love.mid,E-,minor
George_Benson,This_Masquerade.mid,F,minor
George_Benson,Breezin.mid,D,major
George_Benson,Turn_Your_Love_Around.mid,C,major
Westlife,Fool_Again.mid,E,major
Westlife,Swear_It_Again.mid,D,major
ABC,Poison_Arrow.mid,E,minor
ABC,"Look_of_Love,_Part_1.mid",A,minor
ABC,4_Ever_2_Gether.mid,C#,major
DJ_Quicksilver,I_Have_a_Dream.mid,A,minor
DJ_Quicksilver,Bellisima.mid,E-,major
Weezer,Mykel_Carli.mid,F#,major
Weezer,Say_It_Aint_So.mid,E-,major
Weezer,Buddy_Holly.mid,D,major
Weezer,Only_in_Dreams.mid,G#,minor
Weezer,Undone.mid,C,major
Weezer,In_the_Garage.mid,F#,major
Weezer,The_Good_Life.mid,E-,minor
Weezer,Jamie.mid,F#,major
Weezer,Getchoo.mid,G#,minor
Weezer,El_Scorcho.mid,C#,major
Weezer,Tired_of_Sex.mid,F#,major
The_Presidents_of_the_United_States_of_America,Video_Killed_The_Radio_Star.mid,C#,major
Semisonic,Closing_Time.mid,G,major
Gilbert_and_Sullivan,With_Cat-Like_Tread.mid,C,major
